,movie_id,movie_name,year,genre,,director,cast
105,tt3679040,Kisi Ka Bhai Kisi Ki Jaan,2023,"Action, Comedy, Drama",,Farhad Samji,"Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu"
106,tt15134398,King of Kotha,2023,"Action, Drama, Thriller",,Abhilash Joshiy,"Dulquer Salmaan, Aishwarya Lekshmi, Soubin Shahir, Ritika Singh"
107,tt2016894,Ek Tha Tiger,2012,"Action, Adventure, Romance",,"Mathur Goswami, Kabir Khan","Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
108,tt13130760,HIT: The First Case,2022,"Action, Crime, Drama",,Sailesh Kolanu,"Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami"
109,tt11976134,Singham Again,2024,Drama,,Rohit Shetty,"Kareena Kapoor, Deepika Padukone, Akshay Kumar, Ranveer Singh"
110,tt2555736,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama, Romance",,John Madden,"Judi Dench, Maggie Smith, Bill Nighy, Dev Patel"
111,tt0112870,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal"
112,tt28259207,Kill,2023,"Action, Adventure, Drama",,Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan"
113,tt7700730,October,2018,"Drama, Romance",,"Shoojit Sircar, Kuran Dhillon","Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa"
114,tt15600222,An Action Hero,2022,"Action, Comedy, Crime",,Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar"
115,tt23554840,The Vaccine War,2023,"Drama, Thriller",,Vivek Agnihotri,"Nivedita Bhattacharya, Anupam Kher, Girija Oak, Nana Patekar"
116,tt1093370,Jab We Met,2007,"Comedy, Drama, Romance",,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
